Filename,Transcription
conversation_0.wav," Hello, I'm Bank Manager of SBI, or debit card is about to expire with you want to issue new card."
conversation_1.wav," Today's Vodafone numbers ending with 4,882 are selected to receive a 300 and 50 pounds award.  If your number matches call 0906-401-9014 to receive your 350 pounds award."
conversation_100.wav," Hi, babe, I am at home now want to do something?  Triple X."
conversation_1018.wav," 4490500301 you have won a 2,000 pounds price.  To claim, call 0905-0000301."
conversation_1021.wav, Do you want 750 anytime any network means 150 text and a new video phone for only 5 pounds per week call 0807077-6320 now or reply for delivery tomorrow?
conversation_1025.wav," for taking part in our mobile survey yesterday.  You can now have 500 text to use however you wish.  To get TXTs just send text to 80,160 T&CWWW.text43.com 1.50p."
conversation_1043.wav," Thank you, winner notified by SMS. Good luck.  No future marketing reply stop to 84,122 customer services 0845-054-2832."
conversation_1051.wav," 1000s of girls many local to you who are virgins to this end are ready to fulfill your every sexual need.  Can you four file theirs?  Text Q to 69911, pound 1.50 pm."
conversation_1087.wav," Sex up or mobile with a free sexy pick of Jordan.  Just text babe to 88,600.  Then every WK get a sexy celeb.  Pocketbaped.co.uk for more picks.  16 pound 3 slash WK087016248."
conversation_1089.wav, You have one new voicemail.  Please call 0871-918-1503.
conversation_1098.wav," When a year supply of CDs for a store of or choice worth 500 pounds and enter our 100 pounds weekly draw text music to 87,000 and 66TS and CSWWWW.com sub 16 plus one win 150 ppm x3."
conversation_1100.wav," As a sim subscriber, you are selected to receive a bonus.  Get it delivered to your door, text the word okay to know, 88,600 to claim.  150p slash message, exp30apr."
conversation_1110.wav, You have one new voicemail.  Please call 0871-918-1513.
conversation_1114.wav," Number 1 Nokia tone 4 or mob every week.  Just text 0-87,000 and 21.  First tone free.  So get teased and now and tell your friends.  150p slash tone.  16. Reply Hale 4 Info."
conversation_1118.wav," You are a winner you have been specially selected to receive 1,000 pounds cash or a four-estress  holiday, flight sink, speak to a live operator 2 claims 0871277810810."
conversation_1120.wav, Reply with your name and address and you will receive by post a weeks completely free accommodation at various global locations  www.phb1.comph 087044355051550P.
conversation_1122.wav," Free entry into our £250 weekly comp just send the word enter to 84,128 now.  AT&T and CWWWW.text comp.com CUST CARE 0871,240,5020."
conversation_1144.wav, Please call 0871-240-277-9 immediately as there is an urgent message waiting for you.
conversation_1240.wav," Hot live fantasies call now 0870, 750, 9020 just 20 ppm and TTLTD, pobox 1327, Croydon C. R95WB 0870K."
conversation_1248.wav," Bears picnic, and Tom, Pete and Dick.  In fact, all types try gay chat with photo upload call 0871-873-0666-10P-slashman.  Two stop text call 0871-246-0324."
conversation_1249.wav," 500 new mobile from 2004, Musco.  Text, Nokia to know, 89,545 and collect years today, from only £1.WWW.4-TC.bus2-optout 087187262701.50GB-MTMSG18T Stoction."
conversation_1252.wav, Double mince and double text and one half price line rental on latest orange blue tooth mobles.  Call mobile update for the very latest offers.  080-080-830-940-2 or call two opt-out slash LF56.
conversation_1254.wav," Number 1 Nokia tone 4 or mob every week.  Just text 0-87,000 and 21.  First tone free.  So get teased and now and tell your friends.  150p slash tone.  16. Reply Hale 4 Info."
conversation_1294.wav," Congratulations, or awarded either 500 pounds of CD gift vouchers and free entry to our 100 pounds weekly draw text music to 87,000 and 66T and CSWWWW.ldo.com 1-150 ppmx3h16."
conversation_1318.wav," As a registered opt-in subscriber or draw 4100 pounds gift voucher will be entered on receipt of a correct ANS280,062 watts no one in the BBC charts."
conversation_1326.wav, Clare here m haven't borne time and m now alone you want to come over tonight.  Chat now 0909-972-5823 hope to see you love Clare XX calls pound 1 slash min  and marine mobs EMSBO box 45-0139-WA.
conversation_1328.wav, bought one ringtone and now getting text costing 3 pound offering more tones etc.
conversation_1331.wav," 0906, 636, 2231 urgent.  Your mobile 007xxxxxxxxxxxxxx12000 pounds bonus call or prize on February 6, O3.  This is the second attempt to reach you.  Call 0906, 636, 2231 ASAP."
conversation_1334.wav," U-0780-154-3489 are guaranteed the latest Snokia phone, a 40GB iPod MP3 player or a 500-pounds  price.  Text word collect to 08-3355 TCLLC New York USA 150p slash MTMSGRCVD18 plus."
conversation_1337.wav," Hi, it's Lucy Hubby at Meetins all day Friday and I will be alone at hotel you fancy  cumin over.  PLS leave message 2 day 0909-972-6395-LucyX calls pound 1-slashman-mob's Morl KPOBO-X177-HP-51FL."
conversation_1360.wav," Your account has been credited with 500 free text messages.  To activate, just text the word, credit to no, 80,48880 and C.S.W.W.W.W.80488. Biz."
conversation_1368.wav," SMS, ACJSCO, energy is high, but you may not know where to channel it.  Two-day or leadership skills are strong.  Psychic.  Reply A and S with question.  And, reply and JSCO."
conversation_137.wav," Your 2004 Account Statement for 0774, 267, 6969 shows 786, unredeemed bonus points.  To claim call 0871-918-0248 identifier code, 45239 expires."
conversation_1370.wav," Hot live fantasies call now 0870, 750, 9020 just 20pperman NTT LTD, Pobox 1327, Croydon C. R95WB 0870 is a national rate call."
conversation_1375.wav, Thanks for the vote! Now sing along with the stars with karaoke on your mobile.  For a free link just reply with sing now.
conversation_138.wav," Your mobile no was awarded 2000 INR bonus call or prize on May 9, OO21 this is our final try to contact you.  Download XYZ application to get it."
conversation_1386.wav, Our brand new mobile music service is now live.  The free music player will arrive shortly.  Just install on your phone to browse content from the top artists.
conversation_1389.wav," Urgent. Your mobile no was awarded a 2,000-pounds bonus caller prize on January 8,  O3. This is our second attempt to contact you. Call 087-4719-523-box 952BT National Rate."
conversation_140.wav," Today's Vodafone numbers ending $7,548 are selected to receive a $350 award.  If you have a match, please call 0871, 230, 0220 quoting claim code $4,041 standard rates app."
conversation_151.wav, Sunshine Quiz Weekly Chaos.  When a top Sony DVD call 7-8965-4123.
conversation_172.wav, customer service announcement.  You have a new year's delivery waiting for you.  Please call 0704-674-4435 now to arrange delivery.
conversation_173.wav," You are a winner you have been specially selected to receive 1,000 pounds cash or a four-estress  holiday, flights ink, speak to a live operator to claim 0871277810810."
conversation_1783.wav," You have one in Nokia 7250i. This is what you get when you win our free auction.  To take parts and Nokia 286,000 and 21 now."
conversation_1791.wav," Hello from Orange. For one month free access to games, news and sport, plus 10 free  texts and 20 photo messages, reply yes.  Terms apply, www.orange.co.uk slash out."
conversation_181.wav," Sir, I need access bank account number and bank address."
conversation_1841.wav," Urgent. Your mobile number has been awarded with a £2,000 prize guaranteed.  Call 09061790121 from landline.  Valid 12HR S-only 150 ppm."
conversation_1867.wav," You have been selected to stay in one of 250 top British hotels, for nothing.  Holiday worth £350.  To claim."
conversation_1897.wav," Hi, if we're looking for saucy daytime fun with Buster Married Woman A M3 all next week chat now 2 sort time 0909 972, 642 9JA and INX calls pound 1 slash min mobs more LKPO BO X177 HP 51FL"
conversation_19.wav," You have 1, 1 comma 0 0 0 cache or A, 2 comma 0 0 0 price.  To claim, call 0 9 0 5, 0 0 0 0, 0 3 2 7."
conversation_1917.wav," Today's Vodafone numbers ending with 0089, my last four digits, are selected to receive  the 350 pounds award.  If your number matches please call 0906-344-251 to claim your 350 pounds award."
conversation_1918.wav, Free top ringtone sub to weekly ringtone get first week free sent sub poly to 81618-3 per week stop sms-08718727870
conversation_1921.wav," Sunshine Quiz WKLWIQ.  When a top Sony DVD player if you know which country the Algarva is in,  Textons are 282,277.  One-pound and 50-pence SP Tyrone."
