Filename,Transcription
conversation_10.wav, I had asked you a question some hours before. It's answer.
conversation_101.wav," Okay, where are you?  How did you perform?"
conversation_102.wav, You can call me now.
conversation_103.wav, I am waiting Macon. Call me once you free.
conversation_104.wav, That's cool.  I am a gentlemen and will treat you with dignity and respect.
conversation_105.wav, I like you people's very much.  But I am very shy part.
conversation_106.wav," Does not operate after end LT, hashtag NGT, or what."
conversation_107.wav, It's not the same here.  Still looking for a job.  How much do you earn there?
conversation_108.wav," Sorry, I'll call later."
conversation_109.wav," Okay, did you call me just now?"
conversation_11.wav," Well, I am definitely need to restock before Thanksgiving. I'll let you know when I'm out."
conversation_110.wav," Okay, I am on the way to home."
conversation_111.wav, you will be in the place of that man.
conversation_112.wav, You're up next stop.
conversation_113.wav," I call you later, don't have network.  If urgent, SMS-Me."
conversation_114.wav, for real when you're getting on you.  I only need two more tickets and one more jacket and I'm done.  I already used all my moldies.
conversation_115.wav," Yes, I started to send requests to make it but pain came back so I'm back in bed.  Double coins at the factory too.  I got a cash in all my nitros."
conversation_116.wav, I'm really not up to it still tonight babe.
conversation_117.wav, Come when you are free.
conversation_118.wav, Watching Telegoo Movie. What about you?
conversation_119.wav, I see. When we finish we have loads of loans to pay.
conversation_12.wav," said kiss, kiss, I can't do the sound effects.  He is a gorgeous man isn't he?  Kind of person who needs a smile to brighten his day."
conversation_120.wav, Does that cause problem for you?
conversation_121.wav, I see a cup of coffee animation.
conversation_122.wav, Please don't text me anymore. I have nothing else to say.
conversation_123.wav, Ok name your price as long as it's legal.  When can I pick them up?
conversation_124.wav, I'm still looking for a car to buy.  And have not gone forth driving test yet.
conversation_125.wav, As per your request bail bail has been set as your collar tune for all callers.  Press Asterisk 9 to copy your friend's collar tune.
conversation_126.wav," Wow. You're right. I didn't mean to do that. I guess once I gave up on Boston men and changed my  search location to nice, something changed. Cause on my sign in page it still says Boston."
conversation_127.wav," I'm a my life and Vava, I'm a love you lot dear."
conversation_128.wav, Thanks a lot for your wishes on my birthday.  Thanks you for making my birthday truly memorable.
conversation_129.wav," Alright, I'll hit you up when I get some cash."
conversation_13.wav, Probably gunna swing by in a wee bit.
conversation_130.wav, How would my IP address test that considering my computer isn't a Minecraft server?
conversation_131.wav, I know.  Grumpy old people.  My mom was like you better not be lying.  Then again I am always the one to play jokes.
conversation_132.wav, Don't worry. I guess he's busy.
